question_id,prompt,A,B,C,D,E,answer,difficulty
157,Which of the following was NOT proposed in 1850 to the U.S. Senate as a compromise between proslavery and antislavery factions?,Admission to the United States of California as a free state,Continuation of slavery in the District of Columbia,Passage of tougher fugitive slave legislation,Purchase of its claim to New Mexico Territory from Texas,Division of Texas into two new territories: New Mexico and Utah,E,0.68
158,Which of the following most aptly supports the assertion that Native Americans have suffered the worst discrimination of all groups in U.S. history?,Native Americans taught the colonists to grow corn and gather plants that were safe and nutritious to eat.,European explorers and colonists introduced Native Americans to the horse as a working animal and to pigs and chickens as sources of food.,Native Americans and Europeans had different cultural values.,Congress did not grant universal U.S. citizenship for Native Americans until 1924.,The European invaders and colonists of North America refused to learn Native American languages.,D,0.73
159,"Which war did young Americans protest by burning their draft cards and draft notices, fleeing to Canada, and demonstrating against the administration?",Korean War,Vietnam War,Persian Gulf War,War in Afghanistan,Iraq War,B,0.2
160,Which statement most aptly supports the theory that the Black Sox scandal of 1919 was a result of the exploitation of labor by management?,"F. Scott Fitzgerald referred to the scandal as ""playing with the faith of fifty million people.""",The baseball players were in effect indentured servants with no right to strike or to accept offers from other teams.,The eight White Sox players accused of conspiring to cheat were acquitted in a jury trial.,"Baseball commissioner Kenesaw Mountain Landis permanently banned the eight ""Black Sox"" from professional baseball.",Millions of Americans were cheated in their expectation of seeing a fairly contested World Series.,B,0.22
161,Which of the following is the correct chronological order of the three Civil War battles?,"Antietam, Gettysburg, Shiloh","Gettysburg, Shiloh, Antietam","Shiloh, Gettysburg, Antietam","Gettysburg, Antietam, Shiloh","Shiloh, Antietam, Gettysburg",E,0.01
162,"""And the dispossessed, the migrants, flowed into California, two hundred and fifty thousand, and three hundred thousand. Behind them new tractors were going on to the land and the tenants were being forced off. And new waves were on the way,  new waves of the dispossessed and the homeless, hardened, intent, and dangerous."" The author of this quotation is describing",pioneers riding westward along the Oregon Trail,prospectors hurrying to California during the Gold Rush of 1849,farmers leaving the Dust Bowl during the Great Depression,Mexicans crossing the Rio Grande into the United States,African Americans migrating west during Reconstruction,C,0.75
163,What was the most significant result of the Battle of Little Bighorn?,The U.S. Army redoubled its efforts to move Native Americans to reservations.,The U.S. 7th Cavalry troops were all killed in the battle.,The 7th Cavalry attacked the Lakota at dawn after riding all night.,The Lakota felt more confident about their ability to fight the U.S. Army.,The Native American tribes of the southern plains agreed to move to Indian Territory.,A,0.24
164,Everyday life in the United States changed after the Second Industrial Revolution in all the following ways EXCEPT:,More people worked in factories.,Electricity changed the way people worked and played.,People could travel longer distances in a fraction of the time.,Instant long-distance communication became commonplace.,The percentage of women working in offices declined as factory work opened up opportunities for women.,E,0.63
165,The Mexican-American War was caused primarily by,a border dispute between Mexico and Texas,an unpaid debt that Mexico owed the United States,the involvement of the United States in the 1836 Texas revolution,the overthrow of the Mexican administration and its replacement by a military regime,the Texan siege of the Spanish mission/fort known as the Alamo,A,0.84
166,The primary reason the Confederate Army lost the Battle of Gettysburg was that,the Union troops did not have sufficient reinforcements to win the battle,Confederate General Robert E. Lee was a strategically gifted commander,the Union forces were able to hold the high ground northwest of Gettysburg,the Confederate troops retreated south after Pickett's Charge,Union troops vastly outnumbered the Confederates,C,0.96
167,The earliest example of republican government in North America is the,Mayflower Compact,Articles of Confederation,Iroquois Confederacy,Gettysburg Address,U.S. Constitution,C,0.73
169,"As the Constitutional Convention ended, Benjamin Franklin commented about a half-sun with its rays painted on George Washington's chair that ""now at length I have the happiness to know that it is a rising and not a setting sun."" Franklin meant these words as",a criticism of the delegates to the Convention who did not share his faith in the Constitution,an indication that he knew that the fight for the ratification of the Constitution would be difficult,a joke about the poor quality of the furniture in Independence Hall,an expression of hope and optimism for the new government he had helped design,a criticism of the painter of the chair,D,0.82
171,The Farmers' Alliance of the 1870s was founded with all the following goals EXCEPT:,organizing cooperatives to buy equipment and market farm products,offering farmers low-cost insurance,lobbying for tougher bank regulations,helping members in times of hardship such as drought,supporting private ownership of national railroads,E,0.3
